AcresBurned,Counties,Latitude,Longitude,Started,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure
300.0,Sutter,39.18832,-121.78003,2016-09-20T09:30:00Z,24.1,24.1,32.5,6.7,0.0,,,0.0,,,19.8,142.0,1011.8
117.0,Calaveras,38.29113,-120.62177,2017-07-17T12:55:00Z,20.1,20.1,42.7,7.0,0.0,,,0.0,,,2.5,76.0,1008.1
320.0,Madera,37.31191,-119.60412,2014-09-14T13:36:00Z,19.1,19.1,54.0,9.6,0.0,,,0.0,,,7.7,298.0,1007.7
104.0,Butte,39.87070,-121.89380,2015-10-02T14:38:00Z,12.2,12.2,91.9,10.9,0.0,,,0.0,,,1.3,354.0,1017.9
1314.0,San Benito,36.40755,-120.99322,2018-06-04T17:01:00Z,19.7,19.7,58.1,11.3,0.0,,,0.0,,,16.1,316.0,1014.9
17.0,Monterey,36.27710,-120.94328,2017-05-17T15:18:00Z,12.8,12.8,78.3,9.1,0.0,,,0.0,,,20.3,280.0,1017.6
190.0,Los Angeles,34.23500,-117.77100,2014-08-14T12:48:00Z,16.9,16.9,86.0,14.6,0.0,,,0.0,,,0.0,0.0,1013.4
80.0,Butte,39.73188,-121.71394,2013-08-31T17:23:00Z,26.4,26.4,34.2,9.3,0.0,,,0.0,,,0.0,0.0,1014.0
27.0,Modoc,41.64469,-120.31814,2017-08-30T14:50:00Z,10.6,10.6,79.4,7.2,0.0,,,0.0,,,0.9,0.0,1014.1
75.0,San Bernardino,34.18340,-117.44080,2013-05-13T13:30:00Z,20.4,20.4,47.4,8.8,0.0,,,0.0,,,2.8,14.0,1012.8
101.0,Santa Clara,37.39801,-121.81790,2017-07-11T16:51:00Z,20.5,20.5,58.5,12.1,0.0,,,0.0,,,6.5,284.0,1012.5
25.0,Fresno,36.74275,-119.24149,2014-06-11T07:30:00Z,26.6,26.6,38.6,11.4,0.0,,,0.0,,,7.4,353.0,1005.3
18.0,Riverside,33.88744,-117.16232,2018-04-22T13:35:00Z,7.9,7.9,56.4,-0.2,0.0,,,0.0,,,0.5,18.0,1013.7
32.0,Monterey,35.90215,-120.98368,2017-06-11T18:12:00Z,18.5,18.5,38.0,3.9,0.0,,,0.0,,38.9,29.5,320.0,1014.0
21846.0,Trinity,40.76025,-123.10003,2017-08-30T18:00:00Z,28.5,27.5,30.3,9.4,0.0,,,0.0,,,3.3,76.0,1009.8
32.0,Riverside,33.62613,-117.07975,2017-07-13T10:28:00Z,18.9,18.9,87.3,16.7,0.0,,,0.0,,,0.6,353.0,1014.4
13.0,El Dorado,38.69775,-120.73757,2017-07-25T14:13:00Z,20.6,20.6,46.1,8.6,0.0,,,0.0,,,2.4,130.0,1010.6
211.0,Alameda,37.74369,-121.58677,2016-06-25T16:11:00Z,22.7,22.7,41.6,9.0,0.0,,,0.0,,,3.0,337.0,1014.6
0.0,Tulare,35.84883,-118.08591,2016-06-01T15:35:00Z,26.2,26.2,19.6,1.1,0.0,,,0.0,,,0.0,0.0,1010.2
12.0,San Luis Obispo,35.75737,-120.91793,2018-06-03T16:11:00Z,21.3,21.3,45.3,9.0,0.0,,,0.0,,5.4,0.1,19.0,1013.0
103.0,Modoc,41.43783,-120.23976,2019-08-02T16:53:18Z,18.8,18.8,33.1,2.2,0.0,,,0.0,,,5.6,110.0,1019.3
835.0,San Luis Obispo,35.30759,-119.96498,2019-05-29T17:10:00Z,15.4,15.4,79.8,11.9,0.0,,,0.0,,,9.0,308.0,1012.7
26.0,Amador,38.25810,-120.86570,2016-08-05T13:49:00Z,15.6,15.6,49.3,5.0,0.0,,,0.0,,,11.2,5.0,1011.0
,Yolo,38.73463,-121.72969,2019-11-25T12:02:02Z,3.2,1.5,90.7,1.8,0.0,,,0.0,,,6.3,310.0,1016.9
20.0,Contra Costa,37.86549,-122.21020,2017-06-05T13:17:00Z,12.3,12.3,79.5,8.9,0.0,,,0.0,,,7.8,170.0,1013.1
130.0,San Luis Obispo,35.78286,-120.22647,2017-05-02T14:32:00Z,13.4,13.4,68.7,7.7,0.0,,,0.0,,,3.1,353.0,1013.4
1900.0,Shasta,40.99344,-121.52225,2018-08-09T14:34:00Z,12.2,12.2,82.7,9.4,0.0,,,0.0,,,0.0,0.0,1018.4
125.0,Sonoma,38.63883,-122.65562,2013-05-01T02:01:00Z,25.3,25.3,26.5,4.7,0.0,,,0.0,,,18.4,314.0,1008.0
518.0,Kern,35.20130,-118.72120,2016-08-26T10:10:00Z,18.6,18.6,31.8,1.5,0.0,,,0.0,,,8.5,330.0,1009.7
14.0,San Luis Obispo,35.70086,-120.97339,2018-07-17T11:13:00Z,15.1,15.1,78.2,11.4,0.0,,,0.0,,9.4,2.5,3.0,1014.9
58.0,Butte,39.47033,-121.41233,2019-09-06T15:18:52Z,18.2,18.2,68.8,12.4,0.0,,,0.0,,,7.4,157.0,1017.5
40.0,Mariposa,37.28365,-119.97546,2018-07-19T13:07:00Z,21.8,21.8,67.5,15.5,0.0,,,0.0,,,4.5,39.0,1011.0
48019.0,Kern,35.61150,-118.45628,2016-06-23T15:51:00Z,24.2,24.2,23.2,1.9,0.0,,,0.0,,48.0,19.6,346.0,1015.9
150.0,Riverside,33.99013,-117.16500,2013-07-16T17:48:00Z,27.1,26.4,27.3,6.6,0.0,,,0.0,,,8.1,284.0,1012.3
35.0,San Luis Obispo,35.49864,-120.91375,2013-05-20T15:45:00Z,15.0,15.0,53.2,5.6,0.0,,,0.0,,,0.0,0.0,1015.3
20.0,Riverside,33.52584,-116.85226,2017-06-13T17:21:00Z,22.3,22.3,33.3,5.4,0.0,,,0.0,,,5.3,244.0,1012.1
257.0,Tulare,36.18479,-118.99229,2019-06-02T16:12:00Z,22.8,22.8,53.9,13.0,0.0,,,0.0,,,10.3,255.0,1010.8
10.0,Riverside,33.91806,-116.99321,2017-07-03T13:34:00Z,9.3,9.3,74.3,4.9,,,,0.0,,,0.0,0.0,1015.8
13.0,Fresno,36.10499,-120.55324,2018-06-02T09:55:00Z,14.2,14.2,61.6,6.9,0.0,,,0.0,,,5.4,152.0,1015.5
300.0,San Diego,33.38943,-117.50241,2018-05-04T11:44:00Z,10.1,10.1,87.0,8.0,0.0,,,0.0,,,7.5,108.0,1020.0
67.0,El Dorado,38.64500,-120.87417,2018-08-01T13:57:00Z,23.4,23.4,36.1,7.5,0.0,,,0.0,,,10.8,114.0,1011.9
0.0,Riverside,33.99647,-116.84137,2013-06-09T12:30:00Z,17.6,17.6,52.2,7.6,0.0,,,0.0,,,3.4,354.0,1008.5
51.0,San Luis Obispo,35.30151,-120.64398,2018-09-16T08:34:00Z,11.3,11.3,85.1,8.8,0.0,,,0.0,,,5.8,156.0,1012.3
55.0,Tehama,40.01330,-122.55200,2015-06-17T12:50:00Z,19.3,19.3,64.1,12.4,0.0,,,0.0,,,5.6,8.0,1010.7
22.0,El Dorado,38.53847,-120.96511,2019-09-29T21:44:45Z,18.9,18.9,33.8,2.7,0.0,,,0.0,,20.5,9.8,127.0,1012.0
40.0,Orange,33.76550,-117.66490,2013-10-06T10:52:00Z,16.4,16.4,30.8,-0.8,0.0,,,0.0,,,7.6,82.0,1017.8
486.0,San Diego,33.39060,-117.32348,2017-05-19T14:45:00Z,12.6,12.6,88.3,10.7,0.0,,,0.0,,,4.9,32.0,1013.2
25.0,Riverside,33.80406,-116.93188,2018-09-14T19:32:00Z,35.0,32.3,9.2,-2.3,0.0,,,0.0,,,8.7,258.0,1009.3
25.0,San Diego,32.59252,-116.61609,2017-09-07T15:41:00Z,19.6,19.6,65.7,13.0,0.0,,,0.0,,,0.5,1.0,1011.9
4240.0,El Dorado,38.56910,-120.78190,2014-07-25T16:34:00Z,26.5,26.5,30.1,7.5,0.0,,,0.0,,,2.5,96.0,1011.2
1952.0,Los Angeles,34.17030,-117.88160,2014-01-16T05:50:00Z,16.3,16.3,26.8,-2.9,0.0,,,0.0,,,6.8,357.0,1019.9
14.0,Lassen,39.99309,-120.02137,2018-07-14T15:00:00Z,23.4,23.4,38.8,8.6,0.0,,,0.0,,,10.3,295.0,1016.3
1035.0,Madera,37.21616,-119.48067,2017-09-03T13:06:00Z,22.5,22.5,58.9,14.1,0.0,,,0.0,,,7.2,80.0,1010.4
15.0,Modoc,41.45589,-120.56933,2017-07-17T13:38:00Z,8.9,8.9,66.0,2.8,0.0,,,0.0,,,0.0,360.0,1013.9
17.0,Amador,38.26564,-120.89240,2018-06-17T13:58:00Z,11.4,11.4,81.1,8.3,0.0,,,0.0,,,14.0,251.0,1010.0
83.0,San Benito,36.49914,-121.04993,2016-06-12T12:45:00Z,13.1,13.1,94.9,12.3,0.0,,,0.0,,,2.0,37.0,1016.8
17.0,Santa Cruz,37.01250,-122.04600,2018-11-03T21:28:00Z,25.7,25.7,30.8,7.2,0.0,,,0.0,,,10.1,108.0,1017.8
60.0,San Luis Obispo,35.58354,-120.62414,2018-06-14T17:23:00Z,19.7,19.7,55.8,10.7,0.0,,,0.0,,,8.8,311.0,1009.8
50.0,Shasta,40.39000,-122.72100,2014-05-14T14:00:00Z,13.2,13.2,60.5,5.7,0.0,,,0.0,,,6.4,3.0,1020.3
17.0,Mariposa,37.41231,-119.87465,2017-10-03T11:44:00Z,11.2,11.2,56.7,3.0,0.0,,,0.0,,,7.9,91.0,1006.8
18900.0,Tulare,36.27138,-118.48555,2017-09-27T14:00:00Z,13.4,13.4,50.8,3.4,,,,0.0,,,0.0,0.0,1013.4
56.0,Siskiyou,41.93006,-122.36545,2017-06-18T15:45:00Z,18.2,18.2,65.7,11.7,0.0,,,0.0,,,0.4,353.0,1020.4
60.0,Riverside,33.91027,-116.99895,2013-08-04T16:29:00Z,20.2,20.2,75.6,15.8,0.0,,,0.0,,,4.3,331.0,1015.5
0.0,Glenn,39.75425,-122.17657,2017-07-19T17:30:00Z,27.5,26.6,27.7,7.2,0.0,,,0.0,,,7.9,8.0,1014.7
